Title,URL,Authors,Companies,Issues,Sectors,Regions,Countries,Gender,Lawsuit Status
Lawsuit against Shell and NNPC (re gas flaring Nigeria),/bhrrc/latest-news/lawsuit-against-shell-and-nnpc-re-gas-flaring-nigeria/,,Nigerian National Petroleum Corporation (NNPC)|Shell Petroleum Development Company of Nigeria (SPDC),Access to information|Environment: General,Oil gas & coal,,NG,UNKNOWN,CLOSED
Gas flaring lawsuit (re oil companies in Nigeria),/bhrrc/latest-news/gas-flaring-lawsuit-re-oil-companies-in-nigeria-2/,,AGIP (part of Eni)|Chevron|Nigerian National Petroleum Corporation (NNPC)|Shell Petroleum Development Company of Nigeria (SPDC)|Total,Environment: General,Oil gas & coal,,NG,UNKNOWN,OPEN
Lawsuit against Chevron (re gas flaring Nigeria filed in USA),/bhrrc/latest-news/lawsuit-against-chevron-re-gas-flaring-nigeria-filed-in-usa/,,Chevron,Access to information|Environment: General,Oil gas & coal,,NG|US,UNKNOWN,CLOSED
Hudbay Minerals lawsuit (re rape & sexual assault in Guatemala filed in Canada),/bhrrc/latest-news/hudbay-minerals-lawsuit-re-rape-sexual-assault-in-guatemala-filed-in-canada/,,Hudbay Minerals|Skye Resources (part of HudBay),Displacement|Indigenous peoples|Rape & sexual abuse|Security issues & conflict zones: General|Women,Mining,,CA|GT,FEMALE,OPEN
Hudbay Minerals lawsuit (re killing of community leader Guatemala filed in Canada),/bhrrc/latest-news/hudbay-minerals-lawsuit-re-killing-of-community-leader-guatemala-filed-in-canada/,,Compañía Guatemalteca de Níquel (CGN) (part of Solway Group)|Hudbay Minerals,Beatings & violence|Complicity|Conferences & events: General|Deaths|Death threats|Displacement|Environment: General|Indigenous peoples|Injuries|Killings|Land rights|Lawsuits & regulatory action: General|Lawsuits: Selected cases|Legal accountability: General|OECD Guidelines|Protests|Rape & sexual abuse|Security: General|Torture & ill-treatment|UN Guiding Principles on Business & Human Rights|Voluntary Principles on Security & Human Rights|Women,Energy|Law firms|Mining|Oil gas & coal,,CA|GT,UNKNOWN,OPEN
Hudbay Minerals lawsuit (re shooting at Fenix mine Guatemala filed in Canada),/bhrrc/latest-news/hudbay-minerals-lawsuit-re-shooting-at-fenix-mine-guatemala-filed-in-canada/,,Hudbay Minerals,Beatings & violence|Injuries|Security issues & conflict zones: General,Mining,,CA|GT,UNKNOWN,OPEN
Qosmos lawsuit (re Syria),/bhrrc/latest-news/qosmos-investigation-re-syria/,,Qosmos (part of Enea),Abduction|Complicity|Killings|Security issues & conflict zones: General|Surveillance|Torture & ill-treatment,Technology: General|Technology telecom & electronics,,FR|SY,UNKNOWN,OPEN
Sweatshop labour lawsuit (re Bolivian migrant workers in Argentina),/bhrrc/latest-news/sweatshop-labour-lawsuit-re-bolivian-migrant-workers-in-argentina/,,adidas|Alpargatas|Arena|Bensimon|Fila|Graciela Naum|Kosiuko|Le Coq Sportif|Montagne|Puma|Topper (part of Alpargatas),Forced labour & modern slavery|Labour: General|Racial & ethnic groups|Supply chains,Clothing & textile,,AR,UNKNOWN,OPEN
Pfizer lawsuit (re administration of experimental drug in Nigeria filed in USA),/bhrrc/latest-news/pfizer-lawsuit-re-administration-of-experimental-drug-in-nigeria-filed-in-usa/,,Pfizer,Children (issues other than child labour)|Deaths|Health: General (including workplace health & safety)|Illness,Pharmaceutical,,NG|US,UNKNOWN,CLOSED
Areva lawsuit (re discrimination in Niger),/bhrrc/latest-news/areva-lawsuit-re-discrimination-in-niger/,,Orano (formerly Areva),Cultural issues|Racial/ethnic/caste/origin discrimination,Mining,,FR|NE,UNKNOWN,CLOSED
Pfizer lawsuit (re administration of experimental drug in Nigeria filed in Nigeria),/bhrrc/latest-news/pfizer-lawsuit-re-administration-of-experimental-drug-in-nigeria-filed-in-nigeria/,,Pfizer,Children (issues other than child labour)|Deaths|Health: General (including workplace health & safety)|Illness,Pharmaceutical,,NG,UNKNOWN,CLOSED
Thomson Safaris lawsuit (re Maasai in Tanzania filed in USA),/bhrrc/latest-news/thomson-safaris-lawsuit-re-maasai-in-tanzania-filed-in-usa/,,Thomson Safaris (part of Wineland-Thomson Adventures),Access to information|Displacement|Free prior & informed consent|Land rights,Tourism,,TZ|US,UNKNOWN,CLOSED
Trafigura lawsuit (re hazardous waste disposal in Côte d’Ivoire filed in UK),/bhrrc/latest-news/trafigura-lawsuit-re-hazardous-waste-disposal-in-côte-divoire-filed-in-uk/,,Trafigura Beheer,Environment: General|Health: General (including workplace health & safety)|Illness,Shipping & handling: General,,CI|GB,UNKNOWN,CLOSED
Trafigura lawsuit (re hazardous waste disposal in Côte d’Ivoire filed in the Netherlands),/bhrrc/latest-news/trafigura-lawsuit-re-hazardous-waste-disposal-in-côte-divoire-filed-in-the-netherlands/,,Trafigura Beheer,Environment: General|Health: General (including workplace health & safety)|Illness,Shipping & handling: General,,CI|NL,UNKNOWN,CLOSED
Shell lawsuit (re executions in Nigeria Kiobel v Shell filed in the Netherlands),/bhrrc/latest-news/shell-lawsuit-re-executions-in-nigeria-kiobel-v-shell-filed-in-the-netherlands/,,Royal Dutch Shell (Shell),Arbitrary detention|Complicity|Deaths|Human Rights Defenders|Killings|Unfair trial,Oil gas & coal,,NG|NL,UNKNOWN,OPEN
Shell lawsuit (re executions in Nigeria Wiwa v Shell filed in USA),/bhrrc/latest-news/shell-lawsuit-re-executions-in-nigeria-wiwa-v-shell-filed-in-usa/,,Royal Dutch Shell (Shell),Arbitrary detention|Complicity|Deaths|Human Rights Defenders|Killings|Torture & ill-treatment|Unfair trial,Oil gas & coal,,NG|US,UNKNOWN,CLOSED
Total lawsuit in Belgium (re Myanmar),/bhrrc/latest-news/total-lawsuit-in-belgium-re-myanmar/,,Total,Arbitrary detention|Complicity|Forced labour & modern slavery|Killings|Rape & sexual abuse|Torture & ill-treatment,Oil gas & coal,,BE|MM,UNKNOWN,CLOSED
DynCorp lawsuit (re Colombia & Ecuador),/bhrrc/latest-news/dyncorp-lawsuit-re-colombia-ecuador-2/,,DynCorp,Environment: General|Health: General (including workplace health & safety)|Illness|Security issues & conflict zones: General,Pesticide,,CO|US,UNKNOWN,OPEN
Texaco/Chevron lawsuits (re Ecuador),/bhrrc/latest-news/texacochevron-lawsuits-re-ecuador-1/,,Chevron|Texaco (part of Chevron),Environment: General|Health: General (including workplace health & safety)|Land rights,Oil gas & coal,,EC,UNKNOWN,OPEN
Ford lawsuit (re Argentina),/bhrrc/latest-news/ford-lawsuit-re-argentina-2/,,Ford,Arbitrary detention|Labour: General|Security issues & conflict zones: General|Torture & ill-treatment,Automobile & other motor vehicles,,AR,UNKNOWN,CLOSED
J.C. Penney Corp. The Children's Place & Walmart class action lawsuit (re Rana Plaza collapse Bangladesh),/bhrrc/latest-news/jc-penney-corp-the-childrens-place-and-wal-mart-class-action-re-rana-plaza-collapse/,,Children's Place|J.C. Penney|Walmart,Deaths|Injuries|Labour: General|Supply chains,Clothing & textile,,BD|US,UNKNOWN,CLOSED
Loblaws & Bureau Veritas class action lawsuit (re Rana Plaza collapse Bangladesh),/bhrrc/latest-news/loblaws-bureau-veritas-class-action-lawsuit-re-rana-plaza-collapse-bangladesh/,,George Weston|Joe Fresh (part of Loblaw Companies)|Loblaw Companies,Health: General (including workplace health & safety)|Labour: General|Lawsuits & regulatory action: General|Social Audits|Supply chains,Clothing & textile,,BD|CA,UNKNOWN,CLOSED
Shell lawsuit (re oil pollution in Nigeria),/bhrrc/latest-news/shell-lawsuit-re-oil-pollution-in-nigeria/,,Royal Dutch Shell (Shell)|Shell Petroleum Development Company of Nigeria (SPDC),Access to information|Access to water|Alien Tort Claims Act (USA)|Climate change|Complicity|Displacement|Divestment|Environmental discrimination|Environment: General|General business & human rights|Health: General (including workplace health & safety)|Illness|Impact assessment|Injuries|Judicial system|Killings|Lawsuits & regulatory action: General|Legal accountability: General|Major reports & books|OECD|Poverty/Development/Economic & social rights: General|Protests|Right to food|Security issues & conflict zones: General|Socially-responsible investing & shareholder activism|Torture & ill-treatment|Training managers & employees|UNEP|UN Sub-Commission Norms: General,Diversified/Conglomerates|Fishing|Oil gas & coal,,NG|NL,UNKNOWN,OPEN
